fittingType,dn,matchedPipeOuterDiameter,commonWallThickness,connectionType,materialOptions,standard,remark
弯头,DN15,16,0.8|1,卡压式,304|316L,GB/T 19228.2,mock 数据，实际尺寸以图纸和样本为准。
弯头,DN20,20,0.8|1,卡压式,304|316L,GB/T 19228.2,mock 数据，实际尺寸以图纸和样本为准。
弯头,DN25,25.4,1|1.2,卡压式,304|316L,GB/T 19228.2,mock 数据，实际尺寸以图纸和样本为准。
弯头,DN32,32,1|1.2,卡压式,304|316L,GB/T 19228.2,mock 数据，实际尺寸以图纸和样本为准。
弯头,DN40,40,1.2|1.5,卡压式,304|316L,GB/T 19228.2,mock 数据，实际尺寸以图纸和样本为准。
弯头,DN50,50.8,1.2|1.5,卡压式,304|316L,GB/T 19228.2,mock 数据，实际尺寸以图纸和样本为准。
直接,DN15,16,0.8|1,卡压式,304|316L,GB/T 19228.2,mock 数据，实际尺寸以图纸和样本为准。
直接,DN20,20,0.8|1,卡压式,304|316L,GB/T 19228.2,mock 数据，实际尺寸以图纸和样本为准。
直接,DN25,25.4,1|1.2,卡压式,304|316L,GB/T 19228.2,mock 数据，实际尺寸以图纸和样本为准。
直接,DN32,32,1|1.2,卡压式,304|316L,GB/T 19228.2,mock 数据，实际尺寸以图纸和样本为准。
直接,DN40,40,1.2|1.5,卡压式,304|316L,GB/T 19228.2,mock 数据，实际尺寸以图纸和样本为准。
直接,DN50,50.8,1.2|1.5,卡压式,304|316L,GB/T 19228.2,mock 数据，实际尺寸以图纸和样本为准。
三通,DN25,25.4,1|1.2,卡压式,304|316L,GB/T 19228.2,mock 数据，实际尺寸以图纸和样本为准。
三通,DN32,32,1|1.2,卡压式,304|316L,GB/T 19228.2,mock 数据，实际尺寸以图纸和样本为准。
三通,DN40,40,1.2|1.5,卡压式,304|316L,GB/T 19228.2,mock 数据，实际尺寸以图纸和样本为准。
三通,DN50,50.8,1.2|1.5,卡压式,304|316L,GB/T 19228.2,mock 数据，实际尺寸以图纸和样本为准。
